"",".id","rmse","nrmse","rrmse","mre","cov_pct","mod"
"1","nwis_01608500","3.34173832437046","0.224784785852831","171.099145032536","320.547479663116","63.905325443787","S-TS"
"2","nwis_01649190","1.1180404517793","0.227662611256066","138.464920156182","592.363147798931","90.8227848101266","S-TS"
"3","nwis_02336526","1.19151975585507","0.186530010029503","46.8227879520599","188.250335555436","76.1609907120743","S-TS"
"4","nwis_07191222","1.11699915242334","0.311667980841285","18.7688228349113","80.6369450951714","86.4161849710983","S-TS"
"5","nwis_08447300","4.15892693060422","0.268933645713361","5.61709522263889","26.7690322726426","96.7359050445104","S-TS"
"6","nwis_11044000","2.14989468207677","0.227668710455821","696.316265237174","573.182716584121","80.1418439716312","S-TS"
"7","nwis_01608500","3.4333387307687","0.23094636277407","160.483151399306","278.61831903532","69.5266272189349","LB-TS"
"8","nwis_01649190","0.751291188621839","0.152982759741045","91.6095639560438","363.242803718757","89.2405063291139","LB-TS"
"9","nwis_02336526","1.11397667786846","0.174390797864967","40.1295631127856","168.272780803523","94.1176470588235","LB-TS"
"10","nwis_07191222","1.02498398861837","0.285993672810113","27.9269353949583","75.0637510395324","93.9306358381503","LB-TS"
"11","nwis_08447300","3.51217388460414","0.227111883167571","3.91184956874811","6.87394562816639","89.3175074183976","LB-TS"
"12","nwis_11044000","1.84385684523717","0.195260034698433","855.94573143293","690.347731691657","85.1063829787234","LB-TS"
