"","site_name","date","GPP","GPP.lower","GPP.upper","GPP.Rhat","ER","ER.lower","ER.upper","K600","K600.lower","K600.upper","temp","Q","light","velocity"
"356247","nwis_05406457",2009-10-07,8.88105813280631,7.81296537486329,9.96794487226511,0.999031222116971,-18.3937144670398,-20.7595544800969,-16.0614234082146,14.4939957682054,12.4944653726502,16.3527116585728,11.1732638888889,0.311485317,177.522666666667,0.270680497826536
"356248","nwis_05406457",2009-10-08,3.83987061807884,2.81258979470122,4.86494663699037,1.00042601182369,-17.720666657387,-22.2677599719313,-13.0685942958438,14.6127766030192,10.7506655839125,18.3620497623509,10.6670138888889,0.311485317,48.5754583333333,0.270680497826536
"356249","nwis_05406457",2009-10-09,5.48009344914349,4.53358744479003,6.42493638641377,1.00061199877248,-15.2389717290754,-18.0881607723984,-12.4589264116209,13.0858372088406,10.6594659794848,15.604381610732,9.89583333333333,0.3097155140625,54.20525,0.270313678131312
"356250","nwis_05406457",2009-10-10,5.55174918070782,4.44283106826808,6.60287878802912,0.999952702695799,-12.4058212938869,-14.8338228627526,-9.84728443730974,11.0372531226689,8.68335278830211,13.4053214384199,8.69895833333333,0.285862503360417,78.7610416666667,0.265382639299968
"356251","nwis_05406457",2009-10-11,7.25422738303692,6.13401367348097,8.30855337226633,1.00062941185022,-16.2074385443667,-18.6135239260262,-13.6053394730131,14.3853768704283,12.0805239098072,16.6260899076211,8.92465277777778,0.279658360840625,115.195083333333,0.264049544191295
"356252","nwis_05406457",2009-10-12,3.44907291787733,2.6099923784475,4.28029661882518,1.00287259340956,-12.2939996344431,-15.3730771339381,-9.17477697658458,11.1736255124845,8.19548510348782,14.1091306358991,9.21284722222222,0.273729521,41.405625,0.262757541471052
"356253","nwis_05406457",2009-10-14,2.71339000280799,1.79413767162765,3.68127535143953,0.999738726662483,-10.9161240239279,-14.4229890053353,-7.25849528369022,10.0897003707223,6.60245291612103,13.4032764194736,9.41944444444444,0.2605149924,62.6716666666667,0.259771245746752
"356254","nwis_05406457",2009-10-15,4.0776570282058,3.12379332880478,4.96155158660605,0.999285115719121,-14.1387470400407,-17.623468065952,-10.7057633180622,12.3517797943922,9.15341732911834,15.3325377709188,9.29965277777778,0.264968996459375,48.7954583333333,0.260770976743262
"356255","nwis_05406457",2009-10-17,4.62368796019962,3.35682399012022,5.85874110250792,1.00290705948219,-14.7490712643139,-18.485599737525,-10.8271530983057,14.3000599822217,10.6183288788976,17.9911244420731,8.87048611111111,0.264910003028125,95.573375,0.260765407278164
"356256","nwis_05406457",2009-10-18,6.57974050256611,5.61092782938934,7.61276324877917,0.999995879628131,-15.0173483431853,-17.3168579963636,-12.8158171765252,14.0409919021807,11.8642302332945,16.3394819825082,9.353125,0.2625207690625,140.756791666667,0.260237090656939
"356257","nwis_05406457",2009-10-19,6.73899608476069,5.73212373990696,7.69215287289221,1.00069420170895,-15.380963746665,-17.5859688433495,-12.8732170158321,14.0929185460413,11.7761399284942,16.1537862776728,10.3444444444444,0.25856820916875,148.7905,0.259325842638917
"356258","nwis_05406457",2009-10-20,3.14662783504817,2.34154176015799,3.91872331322367,1.00064291783471,-12.9930550953406,-16.4328430059378,-9.65399790028697,11.8177296118013,8.57704709811248,15.0683885371466,10.3614583333333,0.252285408740625,76.03075,0.257863221039479
"356259","nwis_05406457",2009-10-21,5.80743488718021,4.89694798016525,6.68596097778053,1.00089991041505,-15.0143041915968,-17.4554783534617,-12.563335957961,12.4041655403613,10.3201087113273,14.601444184424,11.4576388888889,0.256355955496875,73.244375,0.258779031351088
"356260","nwis_05406457",2009-10-22,4.01918584890216,3.07067977538142,4.85804842471855,1.0014677326853,-18.4562621947343,-22.7640720916801,-13.764428230869,12.354513803824,9.17343726663072,15.3655976909353,9.75243055555556,0.355140456125,37.5489166666667,0.277994544309005
"356261","nwis_05406457",2009-10-23,1.26287350811664,0.557344353012451,1.94215666503125,1.0017246733778,-16.4827944739211,-23.6840451460324,-9.81760833738783,10.2602222119854,6.13811951539528,14.7082757660047,8.97534722222222,0.534480487125,42.392875,0.30672611362499
"356262","nwis_05406457",2009-10-24,5.05612488588389,4.2554503222423,5.84518394905361,1.00205007813912,-17.3164803815234,-20.1238890279703,-14.5094526099419,11.9340885028243,9.83152102263771,13.992787986245,9.16458333333333,0.456609157875,143.741833333333,0.296453926204266
"356263","nwis_05406457",2009-10-25,6.1552955138496,5.17398176096025,7.07339084556114,1.00606614368881,-19.8371570954694,-22.9889576652084,-16.6124889804711,14.6684254498471,12.2017110365915,17.1042070604179,10.0368055555556,0.4241627706875,112.097458333333,0.290599708648614
"356264","nwis_05406457",2009-10-26,1.79597026658679,1.14381641722947,2.47361671595923,0.999204921477664,-16.1964723080154,-21.7228835882581,-11.0144338141621,12.0734901778999,8.25046193280213,16.3162097415633,9.78784722222222,0.416690269395833,34.541125,0.289407925455051
"356265","nwis_05406457",2009-10-28,3.1976644018003,2.48801362039133,3.90505670124935,1.00123574704577,-14.044955902668,-17.420055291563,-10.8230903222351,10.9954971272738,8.40427243031925,13.8996658845056,10.0545138888889,0.333706176104167,101.05325,0.27497314885673
"356266","nwis_05406457",2009-10-29,1.75089089276454,1.1416297840649,2.3140272843962,0.999692664056046,-8.54447785909744,-11.6212245214147,-5.34125896539622,6.03932858280092,3.61783914085703,8.46920149186639,10.5659722222222,0.361138121635417,72.8115,0.281715579311429
