"","site_name","date","GPP","GPP.lower","GPP.upper","GPP.Rhat","ER","ER.lower","ER.upper","K600","K600.lower","K600.upper","temp","Q","light","velocity","depth"
"485878","nwis_14211010",2012-06-30,2.91357013496375,1.68592300002051,4.02642463002359,0.999935576081623,-1.36126905559093,-2.91898829754003,0.257731996933569,5.7643038711948,4.09384446016235,7.48267180088928,14.0979166666667,59.919628120625,135.919833333333,1.13743741443181,1.27048467035851
"485879","nwis_14211010",2012-07-01,3.49752175319037,2.26895878881335,4.75321337120442,1.00000589431285,-2.87797805373787,-4.62665490571109,-1.12308733710111,5.47454227076493,3.85057816013468,7.09466107859235,14.053125,61.6628840140625,198.540291666667,1.15191044878708,1.28602073053136
"485880","nwis_14211010",2012-07-04,4.54326043000128,3.26055583817321,5.83057578628167,0.9991988315241,-4.16665272599262,-5.93757119020852,-2.42326724096632,5.91846771914036,4.6200534330481,7.32269600287971,15.0458333333333,55.943470854375,330.880416666667,1.10356771177308,1.23409874324104
"485881","nwis_14211010",2012-07-05,4.25086768149186,2.83533336458272,5.71189911877109,0.998665793111152,-1.89153612944088,-3.59997514245585,-0.1971171420733,6.92677954655207,5.33418440364968,8.42537162562699,15.6947916666667,52.86991308625,331.6345,1.07643413838312,1.20491760109788
"485882","nwis_14211010",2012-07-06,4.96129246320836,3.68413860794156,6.26438287658105,0.998321795739112,-3.55583547210712,-5.34668117669021,-1.98565714508261,5.97262573025035,4.65673508986341,7.38238570036605,16.253125,50.634062041875,325.835166666667,1.05621817162316,1.18316026568107
"485883","nwis_14211010",2012-07-07,5.15943387314647,3.81927370076396,6.4723768862221,0.999463729214194,-3.8539065810204,-5.50273240772499,-2.23711114971975,6.7015216384104,5.35177632969404,8.16571676665274,16.9083333333333,48.9321015503125,325.745625,1.0404675366084,1.16619672471402
"485884","nwis_14211010",2012-07-08,5.81138677326756,4.32136620542665,7.19497610606514,0.999888065317174,-4.41089510225206,-6.05465119388801,-2.69376495493739,6.32140977637889,4.90438036254401,7.68756110511283,17.5010416666667,47.5516552590625,322.47425,1.02746518971157,1.15218560327311
"485885","nwis_14211010",2012-07-09,5.70245796086166,4.27686804900717,7.09725327281092,0.999813656423971,-5.16279564317146,-6.98723915126151,-3.24711657975422,6.81800266057426,5.432548019193,8.21707063341757,17.8052083333333,46.49862251125,322.41975,1.01736800978103,1.14129911622028
"485886","nwis_14211010",2012-07-10,6.38365869177298,4.89889909433087,7.9140916449059,0.998664445355035,-4.89682473324137,-6.76741269047043,-3.01602639649995,7.0112259916867,5.61361175840025,8.39603029593115,17.584375,44.663926799375,327.471541666667,0.999503072101159,1.12202862113677
"485887","nwis_14211010",2012-07-11,5.955718434021,4.50798975377222,7.31448720802597,0.998970994660076,-6.21876114934793,-8.06628163905745,-4.28106928850737,7.11266485262667,5.68756859342645,8.56279573189899,18.3864583333333,43.60794438,325.577791666667,0.98902401830697,1.11071857864721
"485888","nwis_14211010",2012-07-12,6.16213549179871,4.61511277055293,7.62945003208301,0.99981512972757,-5.85789817123616,-7.77954691669659,-3.95778263693536,6.66902132346657,5.29717956125556,8.07484907023377,18.584375,42.9678656509375,292.965125,0.98260926739555,1.10379305067048
"485889","nwis_14211010",2012-07-13,5.41061044398925,3.99704201985402,6.80213320269074,1.00101657459555,-7.12607748003634,-9.07673744646602,-5.03517989343827,5.76462761800885,4.28431126819926,7.21615444770893,18.9541666666667,41.7938963690625,322.126541666667,0.970727084794611,1.09096089230401
"485890","nwis_14211010",2012-07-14,5.69498120608934,4.38492712260458,6.94919077460448,1.00238799429318,-6.61284141193312,-8.38845543405139,-4.84763223095813,5.01561187247481,3.72918901599251,6.35572655640475,19.115625,41.4930298696875,298.147333333333,0.967643463074096,1.08762946591456
"485891","nwis_14211010",2012-07-15,4.96292583039743,3.70647512882897,6.26474298458927,0.998729229114935,-5.16854298927991,-7.1964410746432,-3.38987465254961,7.19741038827879,5.67759333948733,8.68126596303802,18.0447916666667,40.900145885625,237.604291666667,0.961514591870134,1.0810063402593
"485892","nwis_14211010",2012-07-16,3.74099143722954,2.4246159769273,5.07572573234628,1.00530185404105,-2.53913444868665,-4.23610397656603,-0.876722774599379,6.69310910192106,4.96797430244492,8.36870149777859,18.8104166666667,40.664172160625,273.169208333333,0.959081766553925,1.07837752866088
"485893","nwis_14211010",2012-07-17,4.67991274156168,3.32678709827345,6.1170418865126,0.999773611182521,-4.36680181899142,-6.19498624957038,-2.60531982870879,6.33008526519249,4.58533003277094,7.92728360577534,18.6885416666667,39.9709993434375,288.802458333333,0.951856814937649,1.0705679638227
"485894","nwis_14211010",2012-07-18,3.23447205595859,2.12261918764435,4.38225047535979,0.999820745159942,-3.68075684105227,-5.46708487512169,-2.05371637950322,5.59478395820276,3.96341896339256,7.24297653117289,17.6875,40.0830868628125,305.079,0.953047947067192,1.0718562341943
"485895","nwis_14211010",2012-07-19,2.8987273873127,1.77608309638545,4.02589329549068,1.00116359614962,-0.782702732285525,-2.42731338589069,0.86372102364003,5.23795037401011,3.72008793138655,6.72156321395717,18.4765625,39.67898185875,295.567416666667,0.948765232230172,1.06722464054582
"485896","nwis_14211010",2012-07-20,3.38854561679525,2.07274863714047,4.66905253711589,1.00124053977526,-2.83485104681628,-4.62432373243264,-1.18097202082093,5.56798366566652,3.74820233447574,7.38086182811036,17.8041666666667,39.732075946875,165.0514175,0.949334903555778,1.06784094423081
