"","site","resolution","K600_daily_sigma_Rhat","err_obs_iid_sigma_Rhat","err_proc_iid_sigma_Rhat","K_median","K_range","neg_GPP","pos_ER","run_hrs","model_confidence","site_min_confidence","site_confidence"
"8","nwis_07191222","30min",1.0006546085154,1.03872906367058,1.00968321808008,11.346952468999,7.26504265463296,0.174216027874564,0.0435540069686411,49.4225222222222,"H","H","H"
"170","nwis_01608500","30min",1.00151681217639,1.02384540942731,1.00632283599096,3.82711354066272,3.29611133705251,2.05230056272757,9.89738497186362,44.4066694444444,"H","H","H"
"181","nwis_01649190","15min",1.00767440804697,1.03017375088371,1.03183148013606,22.7549816664597,24.2219658639358,1.11690245718541,15.1898734177215,47.9229255555556,"M","M","M"
"237","nwis_02336526","15min",1.00553085378038,1.0084437331454,1.00059844780048,6.061087988488,7.32210102047383,1.07011070110701,0.18450184501845,85.2174691666667,"H","H","H"
"401","nwis_08447300","15min",1.00933286812532,1.00525475713948,1.00696513845565,5.17680022538328,1.08901589710316,0,4.5045045045045,14.4556527777778,"H","H","H"
"408","nwis_11044000","15min",1.00901251604371,1.01036479401074,1.01033883682659,37.8895473836026,49.8547164300493,1.48478099480327,3.34075723830735,42.5714072222222,"M","M","M"
