"",".id","pars","X50.","X2.5.","X97.5.","Rhat","n_eff","n_eff_less10pct"
"1","nwis_01608500","c",0.218105822904327,0.198335601919995,0.376763524610903,1.00914614361441,460.330649297346,"true"
"2","nwis_01608500","s",0.859052729950219,0.145737582647546,3.24148447129895,1.00088300653733,2405.4120383025,"false"
"341","nwis_01608500","r",0.216652609512499,0.136584603824698,0.301621912618641,1.00108862679069,3950.03821408997,"false"
"342","nwis_01608500","lambda",-0.0240979841826832,-0.0334481939840097,-0.0146822673238762,1.00081538866765,3215.9829877752,"false"
"343","nwis_01608500","sig_p",0.346274181014347,0.299931228261413,0.396804879241632,1.00132652660163,2252.16432424191,"false"
"344","nwis_01608500","sig_o",0.750827059111332,0.645707335680818,0.860905143127678,1.00142505880978,1753.22002692137,"false"
"1022","nwis_01649190","c",0.0880308931045851,0.0816093325254173,0.129775627741104,1.01627141509044,434.907336368782,"true"
"1023","nwis_01649190","s",1.75613226982869,0.478225733476095,3.47504308059057,1.00010604602002,4492.1766726235,"false"
"1340","nwis_01649190","r",0.251162892365935,0.145740429605402,0.364445110244055,1.00052747319849,3367.51223603467,"false"
"1341","nwis_01649190","lambda",-0.0684733659780947,-0.104930876492414,-0.0349957701505619,0.999815371447441,3642.57211228847,"false"
"1342","nwis_01649190","sig_p",0.409057346504622,0.341005210798888,0.48612352093996,1.00327800475345,1357.69739933627,"false"
"1343","nwis_01649190","sig_o",0.303418876250167,0.25272124556609,0.361793489794429,1.00453124990299,1146.57074380572,"false"
"1977","nwis_02336526","c",0.585777939743121,0.214549640578328,0.83752455837364,1.02927881068011,92.5797939927421,"true"
"1978","nwis_02336526","s",1.58045993193684,0.173002110673991,3.46546129854113,1.00126168321042,6490.77056623978,"false"
"2302","nwis_02336526","r",0.0977482717923858,0.0345374335315156,0.163521282493283,1.00020156625046,3526.48376897931,"false"
"2303","nwis_02336526","lambda",-0.035235450452439,-0.0540839446597301,-0.0173395693079615,1.0006665373573,2877.01770149581,"false"
"2304","nwis_02336526","sig_p",0.363071117174237,0.311907088286995,0.417728838817009,1.0006185912755,1719.70883666528,"false"
"2305","nwis_02336526","sig_o",0.254632112011329,0.207622935025715,0.30604482783571,1.00121829588177,1020.48237183184,"false"
"2953","nwis_07191222","c",0.773749492430073,0.750022447349544,0.95564775459982,1.00087985869577,2350.34354940323,"false"
"2954","nwis_07191222","s",1.02292412271465,0.083851386571837,3.1234490389886,1.0007462400857,5497.12280800369,"false"
"3301","nwis_07191222","r",0.0646065398884301,0.0294674007206455,0.119615241072994,1.01755504260198,157.211444872175,"true"
"3302","nwis_07191222","lambda",-0.0263266114339334,-0.047583480522893,-0.0128990015670453,1.01584032473379,166.897400530637,"true"
"3303","nwis_07191222","sig_p",0.111216263908818,0.0821217662276797,0.168743069124995,1.02530350971069,101.246011505588,"true"
"3304","nwis_07191222","sig_o",0.350423301265095,0.309183643938831,0.383749347778348,1.01850344217047,171.580957361528,"true"
"3998","nwis_08447300","c",1.00378477706416,0.999710665396179,1.02541459632862,1.00002232482385,3127.67306569112,"false"
"3999","nwis_08447300","s",1.0899117698528,0.259444944601486,3.0794776290438,1.00008043579727,5755.57975648505,"false"
"4337","nwis_08447300","r",0.15557371365317,0.0906666608893292,0.237985819124236,1.00318930433918,1103.0596479345,"false"
"4338","nwis_08447300","lambda",-0.0108246459887388,-0.0165996325530977,-0.00630039265519773,1.00330040432094,1104.2671920484,"false"
"4339","nwis_08447300","sig_p",0.0817645666862273,0.0594365355584824,0.106208199518169,1.00822500623834,517.733635922413,"true"
"4340","nwis_08447300","sig_o",1.47886758263945,1.32767204379667,1.63502793524307,1.00239124264235,1975.51508009154,"false"
"5016","nwis_11044000","c",0.222822597114942,0.065715574903674,0.372934556578166,1.00497834914619,506.10387077628,"true"
"5017","nwis_11044000","s",1.54300030564404,0.278092279632466,3.45174619422183,1.00052659928404,5899.11698332079,"false"
"5300","nwis_11044000","r",0.0616050833126258,0.0162451537986321,0.113032796747969,1.00260455171581,3155.83920113414,"false"
"5301","nwis_11044000","lambda",-0.0109460053391481,-0.0196887677129821,-0.00313650256197058,1.00209389245167,3704.86767971652,"false"
"5302","nwis_11044000","sig_p",0.184559792584744,0.151664338149929,0.223371280733184,1.00633286616186,1133.70183978572,"false"
"5303","nwis_11044000","sig_o",0.579204945534358,0.487379964108313,0.677635230956064,1.00578344313041,1399.15827961023,"false"
