"",".id","pars","X50.","X2.5.","X97.5.","Rhat","n_eff","n_eff_less10pct"
"1","nwis_01608500","c",0.281418952524582,0.275798981601599,0.303221628387327,1.00337351117261,701.662480737847,"true"
"2","nwis_01608500","s",1.43509650932503,0.33432271585628,3.25245017224774,1.00054701163221,3973.52158324738,"false"
"355","nwis_01608500","r",0.305763708817163,0.218067333442154,0.402783226941959,1.00282582795191,1457.72917726242,"true"
"356","nwis_01608500","lambda",-0.0274391174863833,-0.0362092068592904,-0.0193085524630541,1.002725297085,1520.92454985115,"true"
"357","nwis_01608500","sig_p",0.209234448681939,0.166275014680818,0.254828646254241,1.0042456779164,849.593682934415,"true"
"358","nwis_01608500","sig_o",0.899891562971225,0.738762838406787,1.05291985065636,1.00375654272833,892.036495883637,"true"
"1064","nwis_01649190","c",0.501286341968908,0.286411772166956,0.782267101629478,1.00395395908715,1079.95013000932,"true"
"1065","nwis_01649190","s",1.62301631535214,0.24546661319557,3.46526225823039,1.00032404584694,9863.07131637911,"false"
"1378","nwis_01649190","r",0.0716111617529028,0.0253129342436899,0.135114621543877,1.00159024499187,1344.33511817447,"true"
"1379","nwis_01649190","lambda",-0.0196676539259475,-0.0369584110605264,-0.00667765674783207,1.00235132817536,1140.71126741175,"true"
"1380","nwis_01649190","sig_p",0.227550106574393,0.15777362990266,0.307746047790115,1.00638100852967,411.737559289456,"true"
"1381","nwis_01649190","sig_o",0.337744120307834,0.287749254790082,0.388961138654863,1.00234486189014,923.304970033741,"true"
"2007","nwis_02336526","c",0.144565420348657,0.116118219373729,0.174513986511125,0.999921433561298,2650.81199746908,"false"
"2008","nwis_02336526","s",1.27646622869317,0.148692378972586,3.3664620294395,1.00092542465658,3248.24893685047,"false"
"2320","nwis_02336526","r",0.246867905849969,0.159337329461308,0.366101785385334,1.00071604246327,2401.14224160677,"false"
"2321","nwis_02336526","lambda",-0.0596437081542689,-0.080981763085533,-0.0348170776293452,1.00008387585347,4121.03061976425,"false"
"2322","nwis_02336526","sig_p",0.417784818581693,0.366685023927613,0.475313397598431,1.00057511547775,2461.43654846377,"false"
"2323","nwis_02336526","sig_o",0.291568551750206,0.243417074311507,0.343271888118057,1.00067957171643,1258.08449655376,"true"
"2947","nwis_07191222","c",0.431912227529477,0.345134936717778,0.464111131602359,1.0013684605205,3007.83399498643,"false"
"2948","nwis_07191222","s",1.72178339672332,0.418675956124795,3.57052130663686,0.999878053821115,13746.6312560913,"false"
"3290","nwis_07191222","r",0.350809757758976,0.26105511278836,0.440005162322257,1.00064416417742,4039.26919854323,"false"
"3291","nwis_07191222","lambda",-0.0884207269001243,-0.11077129050485,-0.0664423745453793,1.00075497264227,4225.49462942742,"false"
"3292","nwis_07191222","sig_p",0.332702332564526,0.293667662695528,0.373093271099771,1.00060379094789,1730.29440506237,"true"
"3293","nwis_07191222","sig_o",0.214346916883326,0.157359985212347,0.279371658460247,1.00459113545782,563.127665336821,"true"
"3977","nwis_08447300","c",1.00817008960831,1.00298142222496,1.03526016805812,1.00110887494946,3342.06545198829,"false"
"3978","nwis_08447300","s",1.2553857265821,0.34017253787026,3.09075204728337,1.00003596196755,7027.08350192474,"false"
"4299","nwis_08447300","r",0.0509698256183756,0.0150785460447282,0.0955985175624846,1.00143210115611,1728.8467492279,"true"
"4300","nwis_08447300","lambda",-0.00279674977561568,-0.00533742786618184,-0.000806050413823391,1.00148784560466,1660.18475659552,"true"
"4301","nwis_08447300","sig_p",0.0643682544720074,0.0497065988280511,0.0839804112217736,1.0057533057612,548.590416145434,"true"
"4302","nwis_08447300","sig_o",1.59751669323404,1.45006504423822,1.75552732708212,1.001328844852,2557.29539057827,"false"
"4944","nwis_11044000","c",0.206352520526971,0.115161817387111,0.317093227082314,1.02089622708617,215.013327788882,"true"
"4945","nwis_11044000","s",1.73578451570532,0.391295913783066,3.5892105817581,1.00128373140714,6232.47063616134,"false"
"5238","nwis_11044000","r",0.165220618326334,0.0916049298920824,0.249173034818993,1.00085559076713,2078.61874043408,"false"
"5239","nwis_11044000","lambda",-0.0321869646847864,-0.0489407438427934,-0.017442520227881,1.00123194240757,2217.87054428757,"false"
"5240","nwis_11044000","sig_p",0.228487179009688,0.186905768801395,0.274708495946521,1.00287488228372,1232.35202032226,"true"
"5241","nwis_11044000","sig_o",0.63129610926775,0.533814143422188,0.741734080743279,1.00228619971655,1723.65230569123,"true"
