"",".id","pars","X50.","X2.5.","X97.5.","Rhat","n_eff","n_eff_less10pct"
"353","nwis_01608500","phi",0.8027081227577,0.76020463513788,0.844364121663612,1.00020236541835,4604.07872810518,"false"
"354","nwis_01608500","alpha",0.61656537704074,0.49287552666944,0.744970637423965,1.00029320256705,4056.98571065149,"false"
"355","nwis_01608500","beta",-0.709121729416272,-0.961701820433425,-0.474596862763069,1.00048736770053,3737.01301849342,"false"
"356","nwis_01608500","sig_p",0.194696910172722,0.173746979713703,0.218378595755154,1.00071020055037,2391.93270311003,"false"
"357","nwis_01608500","sig_o",0.513735168441829,0.415216126267649,0.617326334943619,1.00312081558744,947.811911797755,"true"
"671","nwis_01649190","phi",0.907567502440282,0.834903944775519,0.966381610569501,1.0022320481932,1126.78386312217,"true"
"672","nwis_01649190","alpha",0.165217208171114,0.0287834886330032,0.324461533960819,0.999939996932839,4409.87581268296,"false"
"673","nwis_01649190","beta",-1.7721260106823,-2.82797224009505,-0.82988634826441,1.00060099600576,3089.58365357184,"false"
"674","nwis_01649190","sig_p",0.392239350749342,0.31759675289279,0.473612082737263,1.00125303898649,1243.51588168652,"true"
"675","nwis_01649190","sig_o",0.312725072350684,0.258173211890584,0.378650620775362,1.00283975722391,818.071552396716,"true"
"988","nwis_02336526","phi",0.798478343650943,0.742134770434509,0.851304664043696,1.00068716398001,2446.83424351015,"false"
"989","nwis_02336526","alpha",0.334398612308,0.238589415958709,0.433675179375821,0.999815113870064,3379.46453025882,"false"
"990","nwis_02336526","beta",-3.88089689621918,-4.86676772785871,-2.91861591813924,1.00106205472417,2068.30485730624,"false"
"991","nwis_02336526","sig_p",0.286164198558246,0.245191523054196,0.331801633949619,1.00240713607853,2134.8500940214,"false"
"992","nwis_02336526","sig_o",0.296867741115553,0.258285116595242,0.339474601304761,1.00145264493538,2184.67335796379,"false"
"1335","nwis_07191222","phi",0.692118541842207,0.613808334089262,0.767676756270915,1.00076010165468,2777.58361588848,"false"
"1336","nwis_07191222","alpha",0.466783925475696,0.358466763852447,0.581685534159124,1.00073830250031,2400.37375925318,"false"
"1337","nwis_07191222","beta",-1.26616410890522,-1.61857483313221,-0.937779325827021,1.00120112862318,2244.27314490275,"false"
"1338","nwis_07191222","sig_p",0.297375979242421,0.260387041877643,0.335864280581573,1.00110966637804,1550.36071358826,"true"
"1339","nwis_07191222","sig_o",0.216176162758026,0.163856301695556,0.273743345531104,1.00519811669546,615.801852277335,"true"
"1661","nwis_08447300","phi",0.94133362426834,0.908394393946013,0.973502922633199,1.00022273337994,4047.30628943441,"false"
"1662","nwis_08447300","alpha",0.20791611674609,0.099019059623604,0.319623766158328,1.00011975638849,3959.84081958466,"false"
"1663","nwis_08447300","beta",-0.0109278358204469,-0.0468878438326312,-0.000457359089916218,1.00007314798568,14103.7955976643,"false"
"1664","nwis_08447300","sig_p",0.0888683025825635,0.0742606315960398,0.10543091208905,1.00105495735819,1690.46842600246,"true"
"1665","nwis_08447300","sig_o",0.991088651183917,0.826359518690239,1.15327583834353,1.00201049272092,1833.98844044528,"true"
"1959","nwis_11044000","phi",0.728754425416796,0.634985798990343,0.811443100898439,1.00123838197786,2414.64097182398,"false"
"1960","nwis_11044000","alpha",0.585826110240202,0.427987877892637,0.758461069813077,1.00047777144751,2808.83731955792,"false"
"1961","nwis_11044000","beta",-1.64900944880605,-2.35319133511578,-1.03297819139531,0.999792343364147,5491.51725556033,"false"
"1962","nwis_11044000","sig_p",0.285994628141281,0.242927067448447,0.335716861169723,1.00037601880692,1869.68130006346,"true"
"1963","nwis_11044000","sig_o",0.586709619199669,0.478216311021316,0.706092297463291,1.00096006488749,1382.46500234925,"true"
